集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202501090700,202501090800,Link4_10_1,265,Link1_A_in
202501090800,202501090900,Link4_10_1,345,Link1_A_in
202501090900,202501091000,Link4_10_1,144,Link1_A_in
202501091000,202501091100,Link4_10_1,154,Link1_A_in
202501091100,202501091200,Link4_10_1,133,Link1_A_in
202501091200,202501091300,Link4_10_1,155,Link1_A_in
202501091300,202501091400,Link4_10_1,156,Link1_A_in
202501091400,202501091500,Link4_10_1,158,Link1_A_in
202501091500,202501091600,Link4_10_1,171,Link1_A_in
202501091600,202501091700,Link4_10_1,163,Link1_A_in
202501091700,202501091800,Link4_10_1,168,Link1_A_in
202501091800,202501091900,Link4_10_1,192,Link1_A_in
202501091900,202501092000,Link4_10_1,168,Link1_A_in
202501090700,202501090800,Link4_1_10,357,Link1_A_out
202501090800,202501090900,Link4_1_10,431,Link1_A_out
202501090900,202501091000,Link4_1_10,387,Link1_A_out
202501091000,202501091100,Link4_1_10,406,Link1_A_out
202501091100,202501091200,Link4_1_10,391,Link1_A_out
202501091200,202501091300,Link4_1_10,367,Link1_A_out
202501091300,202501091400,Link4_1_10,397,Link1_A_out
202501091400,202501091500,Link4_1_10,384,Link1_A_out
202501091500,202501091600,Link4_1_10,375,Link1_A_out
202501091600,202501091700,Link4_1_10,381,Link1_A_out
202501091700,202501091800,Link4_1_10,381,Link1_A_out
202501091800,202501091900,Link4_1_10,334,Link1_A_out
202501091900,202501092000,Link4_1_10,257,Link1_A_out
202501090700,202501090800,Link10_2_13,957,Link1_B_in
202501090800,202501090900,Link10_2_13,780,Link1_B_in
202501090900,202501091000,Link10_2_13,445,Link1_B_in
202501091000,202501091100,Link10_2_13,447,Link1_B_in
202501091100,202501091200,Link10_2_13,455,Link1_B_in
202501091200,202501091300,Link10_2_13,433,Link1_B_in
202501091300,202501091400,Link10_2_13,418,Link1_B_in
202501091400,202501091500,Link10_2_13,430,Link1_B_in
202501091500,202501091600,Link10_2_13,469,Link1_B_in
202501091600,202501091700,Link10_2_13,504,Link1_B_in
202501091700,202501091800,Link10_2_13,563,Link1_B_in
202501091800,202501091900,Link10_2_13,603,Link1_B_in
202501091900,202501092000,Link10_2_13,491,Link1_B_in
202501090700,202501090800,Link10_13_2,526,Link1_B_out
202501090800,202501090900,Link10_13_2,489,Link1_B_out
202501090900,202501091000,Link10_13_2,650,Link1_B_out
202501091000,202501091100,Link10_13_2,682,Link1_B_out
202501091100,202501091200,Link10_13_2,623,Link1_B_out
202501091200,202501091300,Link10_13_2,624,Link1_B_out
202501091300,202501091400,Link10_13_2,665,Link1_B_out
202501091400,202501091500,Link10_13_2,605,Link1_B_out
202501091500,202501091600,Link10_13_2,661,Link1_B_out
202501091600,202501091700,Link10_13_2,659,Link1_B_out
202501091700,202501091800,Link10_13_2,587,Link1_B_out
202501091800,202501091900,Link10_13_2,623,Link1_B_out
202501091900,202501092000,Link10_13_2,585,Link1_B_out
202501090700,202501090800,Link9_12_2,216,Link1_C_in
202501090800,202501090900,Link9_12_2,284,Link1_C_in
202501090900,202501091000,Link9_12_2,234,Link1_C_in
202501091000,202501091100,Link9_12_2,244,Link1_C_in
202501091100,202501091200,Link9_12_2,257,Link1_C_in
202501091200,202501091300,Link9_12_2,243,Link1_C_in
202501091300,202501091400,Link9_12_2,232,Link1_C_in
202501091400,202501091500,Link9_12_2,248,Link1_C_in
202501091500,202501091600,Link9_12_2,246,Link1_C_in
202501091600,202501091700,Link9_12_2,280,Link1_C_in
202501091700,202501091800,Link9_12_2,266,Link1_C_in
202501091800,202501091900,Link9_12_2,236,Link1_C_in
202501091900,202501092000,Link9_12_2,179,Link1_C_in
202501090700,202501090800,Link9_2_12,286,Link1_C_out
202501090800,202501090900,Link9_2_12,380,Link1_C_out
202501090900,202501091000,Link9_2_12,189,Link1_C_out
202501091000,202501091100,Link9_2_12,202,Link1_C_out
202501091100,202501091200,Link9_2_12,191,Link1_C_out
202501091200,202501091300,Link9_2_12,204,Link1_C_out
202501091300,202501091400,Link9_2_12,206,Link1_C_out
202501091400,202501091500,Link9_2_12,217,Link1_C_out
202501091500,202501091600,Link9_2_12,215,Link1_C_out
202501091600,202501091700,Link9_2_12,221,Link1_C_out
202501091700,202501091800,Link9_2_12,223,Link1_C_out
202501091800,202501091900,Link9_2_12,255,Link1_C_out
202501091900,202501092000,Link9_2_12,215,Link1_C_out
202501090700,202501090800,Link6_11_1,476,Link1_D_in
202501090800,202501090900,Link6_11_1,394,Link1_D_in
202501090900,202501091000,Link6_11_1,433,Link1_D_in
202501091000,202501091100,Link6_11_1,422,Link1_D_in
202501091100,202501091200,Link6_11_1,393,Link1_D_in
202501091200,202501091300,Link6_11_1,423,Link1_D_in
202501091300,202501091400,Link6_11_1,425,Link1_D_in
202501091400,202501091500,Link6_11_1,388,Link1_D_in
202501091500,202501091600,Link6_11_1,433,Link1_D_in
202501091600,202501091700,Link6_11_1,404,Link1_D_in
202501091700,202501091800,Link6_11_1,356,Link1_D_in
202501091800,202501091900,Link6_11_1,455,Link1_D_in
202501091900,202501092000,Link6_11_1,422,Link1_D_in
202501090800,202501090900,Link6_1_11,394,Link1_D_out
202501090900,202501091000,Link6_1_11,433,Link1_D_out
202501091000,202501091100,Link6_1_11,422,Link1_D_out
202501091100,202501091200,Link6_1_11,393,Link1_D_out
202501091200,202501091300,Link6_1_11,423,Link1_D_out
202501091300,202501091400,Link6_1_11,425,Link1_D_out
202501091400,202501091500,Link6_1_11,388,Link1_D_out
202501091500,202501091600,Link6_1_11,433,Link1_D_out
202501091600,202501091700,Link6_1_11,404,Link1_D_out
202501091700,202501091800,Link6_1_11,356,Link1_D_out
202501091800,202501091900,Link6_1_11,455,Link1_D_out
202501091900,202501092000,Link6_1_11,422,Link1_D_out
202501090700,202501090800,Link20_21_4,597,Link2_A_in
202501090800,202501090900,Link20_21_4,579,Link2_A_in
202501090900,202501091000,Link20_21_4,394,Link2_A_in
202501091000,202501091100,Link20_21_4,379,Link2_A_in
202501091100,202501091200,Link20_21_4,389,Link2_A_in
202501091200,202501091300,Link20_21_4,368,Link2_A_in
202501091300,202501091400,Link20_21_4,403,Link2_A_in
202501091400,202501091500,Link20_21_4,362,Link2_A_in
202501091500,202501091600,Link20_21_4,448,Link2_A_in
202501091600,202501091700,Link20_21_4,335,Link2_A_in
202501091700,202501091800,Link20_21_4,290,Link2_A_in
202501091800,202501091900,Link20_21_4,329,Link2_A_in
202501091900,202501092000,Link20_21_4,339,Link2_A_in
202501090700,202501090800,Link20_4_21,770,Link2_A_out
202501090800,202501090900,Link20_4_21,806,Link2_A_out
202501090900,202501091000,Link20_4_21,1034,Link2_A_out
202501091000,202501091100,Link20_4_21,1144,Link2_A_out
202501091100,202501091200,Link20_4_21,948,Link2_A_out
202501091200,202501091300,Link20_4_21,959,Link2_A_out
202501091300,202501091400,Link20_4_21,1077,Link2_A_out
202501091400,202501091500,Link20_4_21,1081,Link2_A_out
202501091500,202501091600,Link20_4_21,1080,Link2_A_out
202501091600,202501091700,Link20_4_21,977,Link2_A_out
202501091700,202501091800,Link20_4_21,1201,Link2_A_out
202501091800,202501091900,Link20_4_21,1105,Link2_A_out
202501091900,202501092000,Link20_4_21,984,Link2_A_out
202501090700,202501090800,Link19_20_4,40,Link2_B_in
202501090800,202501090900,Link19_20_4,88,Link2_B_in
202501090900,202501091000,Link19_20_4,266,Link2_B_in
202501091000,202501091100,Link19_20_4,289,Link2_B_in
202501091100,202501091200,Link19_20_4,264,Link2_B_in
202501091200,202501091300,Link19_20_4,212,Link2_B_in
202501091300,202501091400,Link19_20_4,223,Link2_B_in
202501091400,202501091500,Link19_20_4,236,Link2_B_in
202501091500,202501091600,Link19_20_4,248,Link2_B_in
202501091600,202501091700,Link19_20_4,266,Link2_B_in
202501091700,202501091800,Link19_20_4,313,Link2_B_in
202501091800,202501091900,Link19_20_4,285,Link2_B_in
202501091900,202501092000,Link19_20_4,229,Link2_B_in
202501090700,202501090800,Link19_4_20,52,Link2_B_out
202501090800,202501090900,Link19_4_20,84,Link2_B_out
202501090900,202501091000,Link19_4_20,154,Link2_B_out
202501091000,202501091100,Link19_4_20,158,Link2_B_out
202501091100,202501091200,Link19_4_20,139,Link2_B_out
202501091200,202501091300,Link19_4_20,145,Link2_B_out
202501091300,202501091400,Link19_4_20,163,Link2_B_out
202501091400,202501091500,Link19_4_20,144,Link2_B_out
202501091500,202501091600,Link19_4_20,175,Link2_B_out
202501091600,202501091700,Link19_4_20,126,Link2_B_out
202501091700,202501091800,Link19_4_20,115,Link2_B_out
202501091800,202501091900,Link19_4_20,118,Link2_B_out
202501091900,202501092000,Link19_4_20,100,Link2_B_out
202501090700,202501090800,Link17_19_4,792,Link2_C_in
202501090800,202501090900,Link17_19_4,828,Link2_C_in
202501090900,202501091000,Link17_19_4,999,Link2_C_in
202501091000,202501091100,Link17_19_4,1084,Link2_C_in
202501091100,202501091200,Link17_19_4,885,Link2_C_in
202501091200,202501091300,Link17_19_4,958,Link2_C_in
202501091300,202501091400,Link17_19_4,1069,Link2_C_in
202501091400,202501091500,Link17_19_4,1044,Link2_C_in
202501091500,202501091600,Link17_19_4,1057,Link2_C_in
202501091600,202501091700,Link17_19_4,945,Link2_C_in
202501091700,202501091800,Link17_19_4,1142,Link2_C_in
202501091800,202501091900,Link17_19_4,1088,Link2_C_in
202501091900,202501092000,Link17_19_4,942,Link2_C_in
202501090700,202501090800,Link17_4_19,607,Link2_C_out
202501090800,202501090900,Link17_4_19,605,Link2_C_out
202501090900,202501091000,Link17_4_19,471,Link2_C_out
202501091000,202501091100,Link17_4_19,450,Link2_C_out
202501091100,202501091200,Link17_4_19,451,Link2_C_out
202501091200,202501091300,Link17_4_19,434,Link2_C_out
202501091300,202501091400,Link17_4_19,455,Link2_C_out
202501091400,202501091500,Link17_4_19,417,Link2_C_out
202501091500,202501091600,Link17_4_19,498,Link2_C_out
202501091600,202501091700,Link17_4_19,443,Link2_C_out
202501091700,202501091800,Link17_4_19,429,Link2_C_out
202501091800,202501091900,Link17_4_19,479,Link2_C_out
202501091900,202501092000,Link17_4_19,426,Link2_C_out
202501090700,202501090800,Link26_26_5,677,Link4_A_in
202501090800,202501090900,Link26_26_5,665,Link4_A_in
202501090900,202501091000,Link26_26_5,485,Link4_A_in
202501091000,202501091100,Link26_26_5,496,Link4_A_in
202501091100,202501091200,Link26_26_5,446,Link4_A_in
202501091200,202501091300,Link26_26_5,459,Link4_A_in
202501091300,202501091400,Link26_26_5,479,Link4_A_in
202501091400,202501091500,Link26_26_5,427,Link4_A_in
202501091500,202501091600,Link26_26_5,490,Link4_A_in
202501091600,202501091700,Link26_26_5,450,Link4_A_in
202501091700,202501091800,Link26_26_5,451,Link4_A_in
202501091800,202501091900,Link26_26_5,489,Link4_A_in
202501091900,202501092000,Link26_26_5,462,Link4_A_in
202501090700,202501090800,Link26_5_26,907,Link4_A_out
202501090800,202501090900,Link26_5_26,951,Link4_A_out
202501090900,202501091000,Link26_5_26,967,Link4_A_out
202501091000,202501091100,Link26_5_26,1020,Link4_A_out
202501091100,202501091200,Link26_5_26,945,Link4_A_out
202501091200,202501091300,Link26_5_26,901,Link4_A_out
202501091300,202501091400,Link26_5_26,1026,Link4_A_out
202501091400,202501091500,Link26_5_26,1041,Link4_A_out
202501091500,202501091600,Link26_5_26,913,Link4_A_out
202501091600,202501091700,Link26_5_26,921,Link4_A_out
202501091700,202501091800,Link26_5_26,931,Link4_A_out
202501091800,202501091900,Link26_5_26,931,Link4_A_out
202501091900,202501092000,Link26_5_26,897,Link4_A_out
202501090700,202501090800,Link25_25_5,832,Link4_B_in
202501090800,202501090900,Link25_25_5,730,Link4_B_in
202501090900,202501091000,Link25_25_5,625,Link4_B_in
202501091000,202501091100,Link25_25_5,692,Link4_B_in
202501091100,202501091200,Link25_25_5,650,Link4_B_in
202501091200,202501091300,Link25_25_5,683,Link4_B_in
202501091300,202501091400,Link25_25_5,750,Link4_B_in
202501091400,202501091500,Link25_25_5,648,Link4_B_in
202501091500,202501091600,Link25_25_5,637,Link4_B_in
202501091600,202501091700,Link25_25_5,641,Link4_B_in
202501091700,202501091800,Link25_25_5,501,Link4_B_in
202501091800,202501091900,Link25_25_5,587,Link4_B_in
202501091900,202501092000,Link25_25_5,628,Link4_B_in
202501090700,202501090800,Link25_5_25,1075,Link4_B_out
202501090800,202501090900,Link25_5_25,1036,Link4_B_out
202501090900,202501091000,Link25_5_25,696,Link4_B_out
202501091000,202501091100,Link25_5_25,776,Link4_B_out
202501091100,202501091200,Link25_5_25,714,Link4_B_out
202501091200,202501091300,Link25_5_25,667,Link4_B_out
202501091300,202501091400,Link25_5_25,696,Link4_B_out
202501091400,202501091500,Link25_5_25,726,Link4_B_out
202501091500,202501091600,Link25_5_25,726,Link4_B_out
202501091600,202501091700,Link25_5_25,762,Link4_B_out
202501091700,202501091800,Link25_5_25,831,Link4_B_out
202501091800,202501091900,Link25_5_25,761,Link4_B_out
202501091900,202501092000,Link25_5_25,668,Link4_B_out
202501090700,202501090800,Link24_24_5,904,Link4_C_in
202501090800,202501090900,Link24_24_5,1000,Link4_C_in
202501090900,202501091000,Link24_24_5,777,Link4_C_in
202501091000,202501091100,Link24_24_5,780,Link4_C_in
202501091100,202501091200,Link24_24_5,747,Link4_C_in
202501091200,202501091300,Link24_24_5,657,Link4_C_in
202501091300,202501091400,Link24_24_5,749,Link4_C_in
202501091400,202501091500,Link24_24_5,818,Link4_C_in
202501091500,202501091600,Link24_24_5,721,Link4_C_in
202501091600,202501091700,Link24_24_5,778,Link4_C_in
202501091700,202501091800,Link24_24_5,784,Link4_C_in
