Ｂ流出 流出計= 3 + 7 + 11
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 453 9 1 0 462 1 463 0.2% 9.4% 0
8時台 532 17 3 5 549 8 557 1.4% 11.3% 0
9時台 331 34 3 1 365 4 369 1.1% 7.5% 1
10時台 296 27 3 8 323 11 334 3.3% 6.8% 2
11時台 299 19 4 8 318 12 330 3.6% 6.7% 1
12時台 276 17 2 2 293 4 297 1.3% 6.0% 0
13時台 288 17 3 4 305 7 312 2.2% 6.3% 1
14時台 311 26 1 0 337 1 338 0.3% 6.9% 0
15時台 323 13 4 2 336 6 342 1.8% 6.9% 1
16時台 416 17 6 0 433 6 439 1.4% 8.9% 1
17時台 457 7 4 0 464 4 468 0.9% 9.5% 0
18時台 381 2 4 0 383 4 387 1.0% 7.9% 0
19時台 282 3 4 0 285 4 289 1.4% 5.9% 0
13時間計 4,645 208 42 30 4,853 72 4,925 1.5% 100.0% 7 
