Ｃ流出 流出計= 2 + 6 + 10
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 195 3 25 0 198 25 223 11.2% 12.7% 0
8時台 92 4 37 0 96 37 133 27.8% 7.6% 0
9時台 64 2 38 0 66 38 104 36.5% 5.9% 0
10時台 58 1 40 0 59 40 99 40.4% 5.6% 0
11時台 58 3 39 0 61 39 100 39.0% 5.7% 0
12時台 67 1 35 0 68 35 103 34.0% 5.9% 0
13時台 63 0 43 0 63 43 106 40.6% 6.0% 0
14時台 56 1 32 0 57 32 89 36.0% 5.1% 1
15時台 64 5 45 0 69 45 114 39.5% 6.5% 0
16時台 158 0 35 0 158 35 193 18.1% 11.0% 0
17時台 132 0 38 0 132 38 170 22.4% 9.7% 0
18時台 150 1 31 0 151 31 182 17.0% 10.4% 0
19時台 110 1 29 0 111 29 140 20.7% 8.0% 0
13時間計 1,267 22 467 0 1,289 467 1,756 26.6% 100.0% 1 
