方向 Ｄ流入 流入計= 10 + 11 + 12
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 561 12 7 1 573 8 581 1.4% 10.4% 2
8時台 555 23 5 6 578 11 589 1.9% 10.5% 2
9時台 345 35 7 4 380 11 391 2.8% 7.0% 0
10時台 273 30 14 7 303 21 324 6.5% 5.8% 2
11時台 303 19 11 8 322 19 341 5.6% 6.1% 2
12時台 323 18 16 2 341 18 359 5.0% 6.4% 2
13時台 322 22 16 6 344 22 366 6.0% 6.5% 0
14時台 324 23 10 1 347 11 358 3.1% 6.4% 0
15時台 366 16 18 3 382 21 403 5.2% 7.2% 0
16時台 510 16 13 1 526 14 540 2.6% 9.7% 2
17時台 474 9 12 0 483 12 495 2.4% 8.9% 0
18時台 453 0 9 0 453 9 462 1.9% 8.3% 0
19時台 367 4 8 0 371 8 379 2.1% 6.8% 0
13時間計 5,176 227 146 39 5,403 185 5,588 3.3% 100.0% 12 
