流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 493 48 2 12 541 14 562 2.5% 9.7% 7 7時台 321 11 3 3 332 6 341 1.8% 7.1% 3
8時台 571 45 10 35 616 45 662 6.8% 11.4% 1 8時台 344 31 10 13 375 23 398 5.8% 8.3% 0
9時台 395 59 13 29 454 42 505 8.3% 8.7% 9 9時台 317 37 7 15 354 22 376 5.9% 7.8% 0
10時台 235 51 10 27 286 37 328 11.3% 5.6% 5 10時台 255 42 8 16 297 24 321 7.5% 6.7% 0
11時台 313 52 14 15 365 29 396 7.3% 6.8% 2 11時台 223 41 9 15 264 24 288 8.3% 6.0% 0
12時台 246 33 8 11 279 19 299 6.4% 5.1% 1 12時台 223 18 8 5 241 13 257 5.1% 5.3% 3
13時台 309 62 15 24 371 39 412 9.5% 7.1% 2 13時台 256 38 7 18 294 25 320 7.8% 6.6% 1
14時台 284 50 9 19 334 28 375 7.5% 6.4% 13 14時台 307 37 7 8 344 15 361 4.2% 7.5% 2
15時台 346 65 12 18 411 30 443 6.8% 7.6% 2 15時台 270 38 4 13 308 17 325 5.2% 6.7% 0
16時台 394 40 11 14 434 25 460 5.4% 7.9% 1 16時台 371 49 4 5 420 9 434 2.1% 9.0% 5
17時台 594 51 12 17 645 29 677 4.3% 11.6% 3 17時台 485 51 8 9 536 17 560 3.0% 11.6% 7
18時台 385 6 11 7 391 18 411 4.4% 7.1% 2 18時台 494 36 8 7 530 15 548 2.7% 11.4% 3
19時台 258 15 10 5 273 15 288 5.2% 5.0% 0 19時台 265 14 7 1 279 8 287 2.8% 6.0% 0
13時間計 4,823 577 137 233 5,400 370 5,818 6.4% 100.0% 48 13時間計 4,131 443 90 128 4,574 218 4,816 4.5% 100.0% 24 
