流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 272 7 6 8 279 14 297 4.7% 7.6% 4 7時台 164 19 5 11 183 16 200 8.0% 6.3% 1
8時台 343 36 20 13 379 33 417 7.9% 10.6% 5 8時台 229 26 17 24 255 41 298 13.8% 9.3% 2
9時台 230 35 12 12 265 24 290 8.3% 7.4% 1 9時台 221 47 15 23 268 38 306 12.4% 9.6% 0
10時台 232 47 15 10 279 25 307 8.1% 7.8% 3 10時台 138 40 11 18 178 29 208 13.9% 6.5% 1
11時台 235 37 11 14 272 25 298 8.4% 7.6% 1 11時台 206 46 14 11 252 25 277 9.0% 8.7% 0
12時台 215 25 14 5 240 19 262 7.3% 6.7% 3 12時台 142 20 9 12 162 21 186 11.3% 5.8% 3
13時台 215 36 10 11 251 21 272 7.7% 6.9% 0 13時台 186 31 15 16 217 31 249 12.4% 7.8% 1
14時台 277 33 10 8 310 18 328 5.5% 8.3% 0 14時台 185 33 11 15 218 26 248 10.5% 7.8% 4
15時台 226 39 10 12 265 22 287 7.7% 7.3% 0 15時台 183 40 11 13 223 24 249 9.6% 7.8% 2
16時台 283 37 11 3 320 14 336 4.2% 8.5% 2 16時台 207 21 14 9 228 23 254 9.1% 7.9% 3
17時台 268 53 15 14 321 29 352 8.2% 9.0% 2 17時台 226 25 14 15 251 29 285 10.2% 8.9% 5
18時台 268 20 13 6 288 19 308 6.2% 7.8% 1 18時台 238 8 12 5 246 17 264 6.4% 8.3% 1
19時台 156 5 13 1 161 14 176 8.0% 5.4% 1 19時台 145 8 16 2 153 18 171 10.5% 5.4% 0
13時間計 3,220 410 160 117 3,630 277 3,930 7.0% 100.0% 23 13時間計 2,470 364 164 174 2,834 338 3,195 10.6% 100.0% 23 
