方向 Ａ流入 流入計= 1 + 2 + 3
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 271 5 20 0 276 20 296 6.8% 8.8% 0
8時台 268 8 34 1 276 35 311 11.3% 9.3% 0
9時台 187 8 31 2 195 33 228 14.5% 6.8% 2
10時台 215 12 27 2 227 29 256 11.3% 7.6% 2
11時台 194 11 27 1 205 28 233 12.0% 6.9% 2
12時台 179 6 19 3 185 22 207 10.6% 6.2% 0
13時台 175 4 28 2 179 30 209 14.4% 6.2% 2
14時台 192 12 20 1 204 21 225 9.3% 6.7% 3
15時台 216 11 29 1 227 30 257 11.7% 7.7% 1
16時台 255 11 24 0 266 24 290 8.3% 8.6% 0
17時台 321 2 28 0 323 28 351 8.0% 10.5% 0
18時台 260 3 25 0 263 25 288 8.7% 8.6% 0
19時台 181 1 24 0 182 24 206 11.7% 6.1% 0
13時間計 2,914 94 336 13 3,008 349 3,357 10.4% 100.0% 12 
