Ａ流出 流出計= 4 + 8 + 12
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 260 3 24 1 263 25 288 8.7% 9.2% 4
8時台 298 17 31 2 315 33 348 9.5% 11.1% 2
9時台 172 12 21 4 184 25 209 12.0% 6.7% 0
10時台 116 11 34 1 127 35 162 21.6% 5.2% 1
11時台 123 7 25 1 130 26 156 16.7% 5.0% 1
12時台 147 4 29 1 151 30 181 16.6% 5.8% 2
13時台 171 13 26 4 184 30 214 14.0% 6.8% 0
14時台 169 14 28 1 183 29 212 13.7% 6.8% 0
15時台 199 12 29 1 211 30 241 12.4% 7.7% 0
16時台 249 6 34 1 255 35 290 12.1% 9.2% 1
17時台 260 5 34 0 265 34 299 11.4% 9.5% 1
18時台 270 2 25 0 272 25 297 8.4% 9.5% 0
19時台 212 2 25 0 214 25 239 10.5% 7.6% 1
13時間計 2,646 108 365 17 2,754 382 3,136 12.2% 100.0% 13 
