方向 Ｂ流入 流入計= 4 + 5 + 6
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 342 4 6 0 346 6 352 1.7% 8.9% 2
8時台 344 17 2 0 361 2 363 0.6% 9.2% 0
9時台 289 22 2 0 311 2 313 0.6% 7.9% 0
10時台 249 21 1 0 270 1 271 0.4% 6.8% 0
11時台 243 20 3 0 263 3 266 1.1% 6.7% 0
12時台 239 8 2 0 247 2 249 0.8% 6.3% 0
13時台 240 16 2 0 256 2 258 0.8% 6.5% 0
14時台 263 17 2 0 280 2 282 0.7% 7.1% 0
15時台 288 16 1 0 304 1 305 0.3% 7.7% 0
16時台 334 10 5 0 344 5 349 1.4% 8.8% 0
17時台 353 2 2 0 355 2 357 0.6% 9.0% 1
18時台 323 2 2 0 325 2 327 0.6% 8.2% 0
19時台 270 1 1 0 271 1 272 0.4% 6.9% 1
13時間計 3,777 156 31 0 3,933 31 3,964 0.8% 
