方向 Ｃ流入 流入計= 7 + 8 + 9
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 10 0 23 0 10 23 33 69.7% 4.6% 0
8時台 17 0 39 0 17 39 56 69.6% 7.7% 0
9時台 17 0 32 0 17 32 49 65.3% 6.8% 0
10時台 20 0 43 0 20 43 63 68.3% 8.7% 0
11時台 13 0 40 0 13 40 53 75.5% 7.3% 0
12時台 17 0 41 0 17 41 58 70.7% 8.0% 0
13時台 22 0 37 0 22 37 59 62.7% 8.2% 0
14時台 20 0 40 0 20 40 60 66.7% 8.3% 0
15時台 14 0 41 0 14 41 55 74.5% 7.6% 0
16時台 27 1 40 0 28 40 68 58.8% 9.4% 0
17時台 24 0 43 0 24 43 67 64.2% 9.3% 0
18時台 22 0 30 0 22 30 52 57.7% 7.2% 0
19時台 14 0 36 0 14 36 50 72.0% 6.9% 0
13時間計 237 1 485 0 238 485 723 67.1% 100.0% 0 
