Ｄ流出 流出計= 1 + 5 + 9
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 276 6 6 0 282 6 288 2.1% 7.5% 0
8時台 262 10 9 0 272 9 281 3.2% 7.4% 0
9時台 271 17 10 1 288 11 299 3.7% 7.8% 1
10時台 287 24 8 0 311 8 319 2.5% 8.4% 1
11時台 273 21 13 0 294 13 307 4.2% 8.0% 2
12時台 268 10 12 2 278 14 292 4.8% 7.7% 0
13時台 237 12 11 0 249 11 260 4.2% 6.8% 1
14時台 263 11 11 1 274 12 286 4.2% 7.5% 2
15時台 298 13 11 1 311 12 323 3.7% 8.5% 0
16時台 303 15 7 0 318 7 325 2.2% 8.5% 0
17時台 323 1 9 0 324 9 333 2.7% 8.7% 0
18時台 257 0 6 0 257 6 263 2.3% 6.9% 0
19時台 228 0 11 0 228 11 239 4.6% 6.3% 0
13時間計 3,546 140 124 5 3,686 129 3,815 3.4% 100.0% 7 
