方向 Ａ流入 流入計= 1 + 2 + 3
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 237 10 19 1 247 20 267 7.5% 7.5% 0
8時台 286 10 19 3 296 22 318 6.9% 9.0% 0
9時台 226 8 22 2 234 24 258 9.3% 7.3% 1
10時台 260 16 18 0 276 18 294 6.1% 8.3% 2
11時台 212 12 17 2 224 19 243 7.8% 6.9% 4
12時台 231 8 17 0 239 17 256 6.6% 7.2% 1
13時台 236 8 14 1 244 15 259 5.8% 7.3% 1
14時台 243 11 19 0 254 19 273 7.0% 7.7% 0
15時台 210 17 17 0 227 17 244 7.0% 6.9% 4
16時台 268 14 18 1 282 19 301 6.3% 8.5% 1
17時台 288 3 18 0 291 18 309 5.8% 8.7% 0
18時台 254 0 16 1 254 17 271 6.3% 7.6% 0
19時台 229 2 19 0 231 19 250 7.6% 7.1% 0
13時間計 3,180 119 233 11 3,299 244 3,543 6.9% 100.0% 14 
