方向 Ａ流出 流出計= 4 + 8 + 12
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 221 6 22 3 227 25 252 9.9% 8.3% 6
8時台 302 15 32 1 317 33 350 9.4% 11.5% 3
9時台 158 14 22 2 172 24 196 12.2% 6.5% 0
10時台 155 10 29 4 165 33 198 16.7% 6.5% 2
11時台 177 8 26 1 185 27 212 12.7% 7.0% 3
12時台 161 7 29 0 168 29 197 14.7% 6.5% 2
13時台 166 8 21 2 174 23 197 11.7% 6.5% 0
14時台 171 6 26 0 177 26 203 12.8% 6.7% 1
15時台 206 5 26 0 211 26 237 11.0% 7.8% 1
16時台 201 7 26 2 208 28 236 11.9% 7.8% 4
17時台 249 6 24 0 255 24 279 8.6% 9.2% 2
18時台 229 3 28 0 232 28 260 10.8% 8.6% 2
19時台 188 2 26 0 190 26 216 12.0% 7.1% 0
13時間計 2,584 97 337 15 2,681 352 3,033 11.6% 100.0% 26 
