方向 Ｂ流入 流入計= 4 + 5 + 6
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 360 4 7 0 364 7 371 1.9% 7.2% 1
8時台 331 13 12 0 344 12 356 3.4% 6.9% 0
9時台 363 17 9 0 380 9 389 2.3% 7.5% 0
10時台 375 26 9 1 401 10 411 2.4% 8.0% 0
11時台 401 19 7 0 420 7 427 1.6% 8.3% 1
12時台 333 14 8 0 347 8 355 2.3% 6.9% 1
13時台 393 16 7 0 409 7 416 1.7% 8.1% 0
14時台 385 22 7 0 407 7 414 1.7% 8.0% 0
15時台 399 24 4 1 423 5 428 1.2% 8.3% 1
16時台 411 20 7 0 431 7 438 1.6% 8.5% 0
17時台 388 7 3 0 395 3 398 0.8% 7.7% 0
18時台 355 2 7 0 357 7 364 1.9% 7.0% 0
19時台 388 2 7 0 390 7 397 1.8% 7.7% 0
13時間計 4,882 186 94 2 5,068 96 5,164 1.9% 
