方向 Ｂ流出 流出計= 3 + 7 + 11
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 453 8 2 0 461 2 463 0.4% 7.8% 0
8時台 461 12 4 4 473 8 481 1.7% 8.2% 0
9時台 418 20 3 2 438 5 443 1.1% 7.5% 0
10時台 440 28 2 3 468 5 473 1.1% 8.0% 3
11時台 369 24 7 2 393 9 402 2.2% 6.8% 1
12時台 400 17 2 1 417 3 420 0.7% 7.1% 0
13時台 382 29 3 3 411 6 417 1.4% 7.1% 2
14時台 463 22 0 2 485 2 487 0.4% 8.3% 0
15時台 417 26 7 1 443 8 451 1.8% 7.6% 3
16時台 462 23 5 1 485 6 491 1.2% 8.3% 1
17時台 497 8 2 0 505 2 507 0.4% 8.6% 0
18時台 494 2 1 2 496 3 499 0.6% 8.5% 2
19時台 359 3 3 0 362 3 365 0.8% 6.2% 0
13時間計 5,615 222 41 21 5,837 62 5,899 1.1% 100.0% 12 
