方向 Ｃ流入 流入計= 7 + 8 + 9
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 6 0 25 0 6 25 31 80.6% 4.8% 0
8時台 13 0 40 0 13 40 53 75.5% 8.2% 0
9時台 13 0 32 0 13 32 45 71.1% 7.0% 0
10時台 19 0 38 0 19 38 57 66.7% 8.8% 0
11時台 16 1 39 0 17 39 56 69.6% 8.7% 0
12時台 16 0 39 0 16 39 55 70.9% 8.5% 0
13時台 17 0 34 0 17 34 51 66.7% 7.9% 0
14時台 15 0 38 0 15 38 53 71.7% 8.2% 0
15時台 11 0 39 0 11 39 50 78.0% 7.7% 0
16時台 19 0 39 0 19 39 58 67.2% 9.0% 0
17時台 11 0 29 0 11 29 40 72.5% 6.2% 0
18時台 16 0 36 0 16 36 52 69.2% 8.0% 0
19時台 10 0 36 0 10 36 46 78.3% 7.1% 0
13時間計 182 1 464 0 183 464 647 71.7% 100.0% 0 
