方向 Ｃ流出 流出計= 2 + 6 + 10
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間 動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 140 4 31 0 144 31 175 17.7% 11.6% 0
8時台 68 2 31 1 70 32 102 31.4% 6.7% 0
9時台 63 1 34 0 64 34 98 34.7% 6.5% 0
10時台 65 2 36 0 67 36 103 35.0% 6.8% 0
11時台 72 1 34 0 73 34 107 31.8% 7.1% 1
12時台 52 0 37 0 52 37 89 41.6% 5.9% 0
13時台 58 0 32 0 58 32 90 35.6% 5.9% 1
14時台 85 1 40 0 86 40 126 31.7% 8.3% 0
15時台 70 4 36 0 74 36 110 32.7% 7.3% 0
16時台 102 2 33 0 104 33 137 24.1% 9.0% 1
17時台 85 2 33 0 87 33 120 27.5% 7.9% 0
18時台 105 2 28 0 107 28 135 20.7% 8.9% 0
19時台 91 0 31 0 91 31 122 25.4% 8.1% 0
13時間計 1,056 21 436 1 1,077 437 1,514 28.9% 100.0% 3 
