方向 Ｄ流出 流出計= 1 + 5 + 9
種別 小型車 大型車 小型車 大型車 自動車 大型車 時間動力付き二輪車類
乗用車 小型 バス 普通 計 計 類 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 286 7 5 1 293 6 299 2.0% 6.2% 1
8時台 258 12 10 0 270 10 280 3.6% 5.8% 0
9時台 345 11 11 1 356 12 368 3.3% 7.7% 1
10時台 393 23 10 1 416 11 427 2.6% 8.9% 0
11時台 401 21 9 2 422 11 433 2.5% 9.0% 2
12時台 333 14 12 0 347 12 359 3.3% 7.5% 2
13時台 401 15 11 0 416 11 427 2.6% 8.9% 1
14時台 367 26 12 0 393 12 405 3.0% 8.5% 0
15時台 369 21 6 1 390 7 397 1.8% 8.3% 2
16時台 384 17 8 0 401 8 409 2.0% 8.5% 0
17時台 325 4 4 0 329 4 333 1.2% 7.0% 0
18時台 280 1 9 0 281 9 290 3.1% 6.1% 0
19時台 352 1 8 0 353 8 361 2.2% 7.5% 0
13時間計 4,494 173 115 6 4,667 121 4,788 2.5% 
