流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 460 45 2 11 505 13 524 2.5% 7.3% 6 7時台 307 19 3 4 326 7 334 2.1% 6.5% 1
8時台 649 49 14 21 698 35 744 4.7% 10.4% 11 8時台 321 22 11 18 343 29 375 7.7% 7.3% 3
9時台 409 51 8 33 460 41 507 8.1% 7.1% 6 9時台 272 40 7 13 312 20 333 6.0% 6.5% 1
10時台 480 78 16 29 558 45 614 7.3% 8.6% 11 10時台 331 63 4 14 394 18 413 4.4% 8.1% 1
11時台 397 75 11 14 472 25 500 5.0% 7.0% 3 11時台 305 31 13 12 336 25 364 6.9% 7.1% 3
12時台 379 65 11 14 444 25 471 5.3% 6.6% 2 12時台 300 30 7 11 330 18 356 5.1% 7.0% 8
13時台 399 47 13 30 446 43 494 8.7% 6.9% 5 13時台 296 48 7 11 344 18 368 4.9% 7.2% 6
14時台 450 72 14 28 522 42 578 7.3% 8.1% 14 14時台 326 39 8 14 365 22 391 5.6% 7.6% 4
15時台 436 60 11 20 496 31 528 5.9% 7.4% 1 15時台 320 42 5 14 362 19 384 4.9% 7.5% 3
16時台 503 75 10 13 578 23 603 3.8% 8.4% 2 16時台 407 29 5 8 436 13 453 2.9% 8.8% 4
17時台 534 56 9 8 590 17 608 2.8% 8.5% 1 17時台 422 36 7 4 458 11 481 2.3% 9.4% 12
18時台 610 32 8 5 642 13 657 2.0% 9.2% 2 18時台 453 23 8 3 476 11 491 2.2% 9.6% 4
19時台 304 14 11 3 318 14 334 4.2% 4.7% 2 19時台 355 12 7 2 367 9 378 2.4% 7.4% 2
13時間計 6,010 719 138 229 6,729 367 7,162 5.1% 100.0% 66 13時間計 4,415 434 92 128 4,849 220 5,121 4.3% 100.0% 52 
