流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 231 9 3 6 240 9 255 3.5% 4.6% 6 7時台 738 47 6 15 785 21 817 2.6% 6.9% 11
8時台 343 17 10 7 360 17 382 4.5% 6.9% 5 8時台 976 67 20 23 1,043 43 1,098 3.9% 9.3% 12
9時台 335 49 6 15 384 21 408 5.1% 7.4% 3 9時台 641 79 13 41 720 54 784 6.9% 6.7% 10
10時台 453 66 5 20 519 25 545 4.6% 9.8% 1 10時台 833 118 22 45 951 67 1,029 6.5% 8.7% 11
11時台 342 41 7 15 383 22 408 5.4% 7.4% 3 11時台 704 99 13 24 803 37 846 4.4% 7.2% 6
12時台 321 30 4 11 351 15 373 4.0% 6.7% 7 12時台 642 67 13 20 709 33 751 4.4% 6.4% 9
13時台 358 48 4 14 406 18 429 4.2% 7.8% 5 13時台 682 78 14 37 760 51 821 6.2% 7.0% 10
14時台 369 41 5 16 410 21 438 4.8% 7.9% 7 14時台 752 97 14 34 849 48 919 5.2% 7.8% 22
15時台 346 51 5 23 397 28 429 6.5% 7.8% 4 15時台 696 87 15 43 783 58 846 6.9% 7.2% 5
16時台 422 39 6 11 461 17 486 3.5% 8.8% 8 16時台 863 105 16 21 968 37 1,017 3.6% 8.6% 12
17時台 410 31 5 6 441 11 465 2.4% 8.4% 13 17時台 926 81 10 13 1,007 23 1,046 2.2% 8.9% 16
18時台 483 29 5 5 512 10 527 1.9% 9.5% 5 18時台 1,018 56 15 9 1,074 24 1,105 2.2% 9.4% 7
19時台 364 15 8 1 379 9 390 2.3% 7.0% 2 19時台 651 27 15 5 678 20 704 2.8% 6.0% 6
13時間計 4,777 466 73 150 5,243 223 5,535 4.0% 100.0% 69 13時間計 10,122 1,008 186 330 11,130 516 11,783 4.4% 100.0% 137 
