流入　流出
方向 方向
種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車 種別 小型車 大型車 小型車 大型車 合計 大型車 時間 二輪車
乗用車 小型 バス 普通 計 計 混入率 比率 乗用車 小型 バス 普通 計 計 混入率 比率
貨物車 貨物車 貨物車 貨物車
時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台] 時間帯 [台] [台] [台] [台] [台] [台] [台] [％] [％] [台]
7時台 289 28 6 5 317 11 332 3.3% 10.3% 4 7時台 148 23 5 8 171 13 185 7.0% 5.5% 1
8時台 306 32 18 18 338 36 382 9.4% 11.8% 8 8時台 251 16 21 12 267 33 307 10.7% 9.2% 7
9時台 165 18 11 7 183 18 202 8.9% 6.3% 1 9時台 206 31 11 16 237 27 265 10.2% 7.9% 1
10時台 169 35 11 8 204 19 226 8.4% 7.0% 3 10時台 254 43 11 16 297 27 325 8.3% 9.7% 1
11時台 226 33 15 3 259 18 277 6.5% 8.6% 0 11時台 218 29 14 10 247 24 271 8.9% 8.1% 0
12時台 171 16 12 1 187 13 202 6.4% 6.3% 2 12時台 170 30 11 5 200 16 216 7.4% 6.5% 0
13時台 205 32 12 6 237 18 258 7.0% 8.0% 3 13時台 203 26 12 14 229 26 255 10.2% 7.6% 0
14時台 217 29 10 3 246 13 261 5.0% 8.1% 2 14時台 232 29 11 13 261 24 289 8.3% 8.7% 4
15時台 185 17 10 3 202 13 215 6.0% 6.7% 0 15時台 217 38 11 9 255 20 276 7.2% 8.3% 1
16時台 203 18 10 4 221 14 238 5.9% 7.4% 3 16時台 215 27 11 10 242 21 268 7.8% 8.0% 5
17時台 234 16 10 0 250 10 264 3.8% 8.2% 4 17時台 198 11 12 3 209 15 227 6.6% 6.8% 3
18時台 175 9 16 1 184 17 201 8.5% 6.2% 0 18時台 231 17 11 4 248 15 264 5.7% 7.9% 1
19時台 151 5 12 2 156 14 173 8.1% 5.4% 3 19時台 164 8 17 0 172 17 190 8.9% 5.7% 1
13時間計 2,696 288 153 61 2,984 214 3,231 6.6% 100.0% 33 13時間計 2,707 328 158 120 3,035 278 3,338 8.3% 100.0% 25 
