集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link17_19_4,899,Link2_C_in
202401160800,202401160900,Link17_19_4,838,Link2_C_in
202401160900,202401161000,Link17_19_4,928,Link2_C_in
202401161000,202401161100,Link17_19_4,807,Link2_C_in
202401161100,202401161200,Link17_19_4,773,Link2_C_in
202401161200,202401161300,Link17_19_4,749,Link2_C_in
202401161300,202401161400,Link17_19_4,776,Link2_C_in
202401161400,202401161500,Link17_19_4,706,Link2_C_in
202401161500,202401161600,Link17_19_4,809,Link2_C_in
202401161600,202401161700,Link17_19_4,827,Link2_C_in
202401161700,202401161800,Link17_19_4,936,Link2_C_in
202401161800,202401161900,Link17_19_4,902,Link2_C_in
202401161900,202401162000,Link17_19_4,633,Link2_C_in
202401160700,202401160800,Link17_4_19,642,Link2_C_out
202401160800,202401160900,Link17_4_19,692,Link2_C_out
202401160900,202401161000,Link17_4_19,602,Link2_C_out
202401161000,202401161100,Link17_4_19,586,Link2_C_out
202401161100,202401161200,Link17_4_19,632,Link2_C_out
202401161200,202401161300,Link17_4_19,634,Link2_C_out
202401161300,202401161400,Link17_4_19,603,Link2_C_out
202401161400,202401161500,Link17_4_19,537,Link2_C_out
202401161500,202401161600,Link17_4_19,565,Link2_C_out
202401161600,202401161700,Link17_4_19,726,Link2_C_out
202401161700,202401161800,Link17_4_19,728,Link2_C_out
202401161800,202401161900,Link17_4_19,657,Link2_C_out
202401161900,202401162000,Link17_4_19,466,Link2_C_out
