集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link22_23_5,627,Link4_D_in
202401160800,202401160900,Link22_23_5,664,Link4_D_in
202401160900,202401161000,Link22_23_5,514,Link4_D_in
202401161000,202401161100,Link22_23_5,519,Link4_D_in
202401161100,202401161200,Link22_23_5,514,Link4_D_in
202401161200,202401161300,Link22_23_5,522,Link4_D_in
202401161300,202401161400,Link22_23_5,433,Link4_D_in
202401161400,202401161500,Link22_23_5,467,Link4_D_in
202401161500,202401161600,Link22_23_5,493,Link4_D_in
202401161600,202401161700,Link22_23_5,536,Link4_D_in
202401161700,202401161800,Link22_23_5,728,Link4_D_in
202401161800,202401161900,Link22_23_5,595,Link4_D_in
202401161900,202401162000,Link22_23_5,345,Link4_D_in
202401160700,202401160800,Link22_5_23,474,Link4_D_out
202401160800,202401160900,Link22_5_23,441,Link4_D_out
202401160900,202401161000,Link22_5_23,456,Link4_D_out
202401161000,202401161100,Link22_5_23,441,Link4_D_out
202401161100,202401161200,Link22_5_23,393,Link4_D_out
202401161200,202401161300,Link22_5_23,437,Link4_D_out
202401161300,202401161400,Link22_5_23,432,Link4_D_out
202401161400,202401161500,Link22_5_23,476,Link4_D_out
202401161500,202401161600,Link22_5_23,465,Link4_D_out
202401161600,202401161700,Link22_5_23,462,Link4_D_out
202401161700,202401161800,Link22_5_23,478,Link4_D_out
202401161800,202401161900,Link22_5_23,450,Link4_D_out
202401161900,202401162000,Link22_5_23,421,Link4_D_out
