集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link6_11_1,365,Link1_E_in
202401090800,202401090900,Link6_11_1,302,Link1_E_in
202401090900,202401091000,Link6_11_1,471,Link1_E_in
202401091000,202401091100,Link6_11_1,506,Link1_E_in
202401091100,202401091200,Link6_11_1,456,Link1_E_in
202401091200,202401091300,Link6_11_1,473,Link1_E_in
202401091300,202401091400,Link6_11_1,505,Link1_E_in
202401091400,202401091500,Link6_11_1,434,Link1_E_in
202401091500,202401091600,Link6_11_1,526,Link1_E_in
202401091600,202401091700,Link6_11_1,509,Link1_E_in
202401091700,202401091800,Link6_11_1,425,Link1_E_in
202401091800,202401091900,Link6_11_1,466,Link1_E_in
202401091900,202401092000,Link6_11_1,475,Link1_E_in
202401090700,202401090800,Link6_1_11,476,Link1_E_out
202401090800,202401090900,Link6_1_11,394,Link1_E_out
202401090900,202401091000,Link6_1_11,433,Link1_E_out
202401091000,202401091100,Link6_1_11,422,Link1_E_out
202401091100,202401091200,Link6_1_11,393,Link1_E_out
202401091200,202401091300,Link6_1_11,423,Link1_E_out
202401091300,202401091400,Link6_1_11,425,Link1_E_out
202401091400,202401091500,Link6_1_11,388,Link1_E_out
202401091500,202401091600,Link6_1_11,433,Link1_E_out
202401091600,202401091700,Link6_1_11,404,Link1_E_out
202401091700,202401091800,Link6_1_11,356,Link1_E_out
202401091800,202401091900,Link6_1_11,455,Link1_E_out
202401091900,202401092000,Link6_1_11,422,Link1_E_out
