集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link20_21_4,597,Link2_A_in
202401090800,202401090900,Link20_21_4,579,Link2_A_in
202401090900,202401091000,Link20_21_4,394,Link2_A_in
202401091000,202401091100,Link20_21_4,379,Link2_A_in
202401091100,202401091200,Link20_21_4,389,Link2_A_in
202401091200,202401091300,Link20_21_4,368,Link2_A_in
202401091300,202401091400,Link20_21_4,403,Link2_A_in
202401091400,202401091500,Link20_21_4,362,Link2_A_in
202401091500,202401091600,Link20_21_4,448,Link2_A_in
202401091600,202401091700,Link20_21_4,335,Link2_A_in
202401091700,202401091800,Link20_21_4,290,Link2_A_in
202401091800,202401091900,Link20_21_4,329,Link2_A_in
202401091900,202401092000,Link20_21_4,339,Link2_A_in
202401090700,202401090800,Link20_4_21,770,Link2_A_out
202401090800,202401090900,Link20_4_21,806,Link2_A_out
202401090900,202401091000,Link20_4_21,1034,Link2_A_out
202401091000,202401091100,Link20_4_21,1144,Link2_A_out
202401091100,202401091200,Link20_4_21,948,Link2_A_out
202401091200,202401091300,Link20_4_21,959,Link2_A_out
202401091300,202401091400,Link20_4_21,1077,Link2_A_out
202401091400,202401091500,Link20_4_21,1081,Link2_A_out
202401091500,202401091600,Link20_4_21,1080,Link2_A_out
202401091600,202401091700,Link20_4_21,977,Link2_A_out
202401091700,202401091800,Link20_4_21,1201,Link2_A_out
202401091800,202401091900,Link20_4_21,1105,Link2_A_out
202401091900,202401092000,Link20_4_21,984,Link2_A_out
