集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link19_20_4,40,Link2_B_in
202401090800,202401090900,Link19_20_4,88,Link2_B_in
202401090900,202401091000,Link19_20_4,266,Link2_B_in
202401091000,202401091100,Link19_20_4,289,Link2_B_in
202401091100,202401091200,Link19_20_4,264,Link2_B_in
202401091200,202401091300,Link19_20_4,212,Link2_B_in
202401091300,202401091400,Link19_20_4,223,Link2_B_in
202401091400,202401091500,Link19_20_4,236,Link2_B_in
202401091500,202401091600,Link19_20_4,248,Link2_B_in
202401091600,202401091700,Link19_20_4,266,Link2_B_in
202401091700,202401091800,Link19_20_4,313,Link2_B_in
202401091800,202401091900,Link19_20_4,285,Link2_B_in
202401091900,202401092000,Link19_20_4,229,Link2_B_in
202401090700,202401090800,Link19_4_20,52,Link2_B_out
202401090800,202401090900,Link19_4_20,84,Link2_B_out
202401090900,202401091000,Link19_4_20,154,Link2_B_out
202401091000,202401091100,Link19_4_20,158,Link2_B_out
202401091100,202401091200,Link19_4_20,139,Link2_B_out
202401091200,202401091300,Link19_4_20,145,Link2_B_out
202401091300,202401091400,Link19_4_20,163,Link2_B_out
202401091400,202401091500,Link19_4_20,144,Link2_B_out
202401091500,202401091600,Link19_4_20,175,Link2_B_out
202401091600,202401091700,Link19_4_20,126,Link2_B_out
202401091700,202401091800,Link19_4_20,115,Link2_B_out
202401091800,202401091900,Link19_4_20,118,Link2_B_out
202401091900,202401092000,Link19_4_20,100,Link2_B_out
