集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link16_18_3,296,Link10_A_in
202401160800,202401160900,Link16_18_3,311,Link10_A_in
202401160900,202401161000,Link16_18_3,228,Link10_A_in
202401161000,202401161100,Link16_18_3,256,Link10_A_in
202401161100,202401161200,Link16_18_3,233,Link10_A_in
202401161200,202401161300,Link16_18_3,207,Link10_A_in
202401161300,202401161400,Link16_18_3,209,Link10_A_in
202401161400,202401161500,Link16_18_3,225,Link10_A_in
202401161500,202401161600,Link16_18_3,257,Link10_A_in
202401161600,202401161700,Link16_18_3,290,Link10_A_in
202401161700,202401161800,Link16_18_3,351,Link10_A_in
202401161800,202401161900,Link16_18_3,288,Link10_A_in
202401161900,202401162000,Link16_18_3,206,Link10_A_in
