集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link12_15_3,223,Link10_C_out
202401160800,202401160900,Link12_15_3,133,Link10_C_out
202401160900,202401161000,Link12_15_3,104,Link10_C_out
202401161000,202401161100,Link12_15_3,99,Link10_C_out
202401161100,202401161200,Link12_15_3,100,Link10_C_out
202401161200,202401161300,Link12_15_3,103,Link10_C_out
202401161300,202401161400,Link12_15_3,106,Link10_C_out
202401161400,202401161500,Link12_15_3,89,Link10_C_out
202401161500,202401161600,Link12_15_3,114,Link10_C_out
202401161600,202401161700,Link12_15_3,193,Link10_C_out
202401161700,202401161800,Link12_15_3,170,Link10_C_out
202401161800,202401161900,Link12_15_3,182,Link10_C_out
202401161900,202401162000,Link12_15_3,140,Link10_C_out
