集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link15_17_3,371,Link10_B_in
202401090800,202401090900,Link15_17_3,356,Link10_B_in
202401090900,202401091000,Link15_17_3,389,Link10_B_in
202401091000,202401091100,Link15_17_3,411,Link10_B_in
202401091100,202401091200,Link15_17_3,427,Link10_B_in
202401091200,202401091300,Link15_17_3,355,Link10_B_in
202401091300,202401091400,Link15_17_3,416,Link10_B_in
202401091400,202401091500,Link15_17_3,414,Link10_B_in
202401091500,202401091600,Link15_17_3,428,Link10_B_in
202401091600,202401091700,Link15_17_3,438,Link10_B_in
202401091700,202401091800,Link15_17_3,398,Link10_B_in
202401091800,202401091900,Link15_17_3,364,Link10_B_in
202401091900,202401092000,Link15_17_3,397,Link10_B_in
