集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link15_3_17,463,Link10_B_out
202401090800,202401090900,Link15_3_17,481,Link10_B_out
202401090900,202401091000,Link15_3_17,443,Link10_B_out
202401091000,202401091100,Link15_3_17,473,Link10_B_out
202401091100,202401091200,Link15_3_17,402,Link10_B_out
202401091200,202401091300,Link15_3_17,420,Link10_B_out
202401091300,202401091400,Link15_3_17,417,Link10_B_out
202401091400,202401091500,Link15_3_17,487,Link10_B_out
202401091500,202401091600,Link15_3_17,451,Link10_B_out
202401091600,202401091700,Link15_3_17,491,Link10_B_out
202401091700,202401091800,Link15_3_17,507,Link10_B_out
202401091800,202401091900,Link15_3_17,499,Link10_B_out
202401091900,202401092000,Link15_3_17,365,Link10_B_out
