集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401090700,202401090800,Link14_16_3,520,Link10_D_in
202401090800,202401090900,Link14_16_3,486,Link10_D_in
202401090900,202401091000,Link14_16_3,413,Link10_D_in
202401091000,202401091100,Link14_16_3,439,Link10_D_in
202401091100,202401091200,Link14_16_3,428,Link10_D_in
202401091200,202401091300,Link14_16_3,399,Link10_D_in
202401091300,202401091400,Link14_16_3,405,Link10_D_in
202401091400,202401091500,Link14_16_3,481,Link10_D_in
202401091500,202401091600,Link14_16_3,473,Link10_D_in
202401091600,202401091700,Link14_16_3,476,Link10_D_in
202401091700,202401091800,Link14_16_3,492,Link10_D_in
202401091800,202401091900,Link14_16_3,497,Link10_D_in
202401091900,202401092000,Link14_16_3,371,Link10_D_in
