集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link30_6_29,341,Link7_A_out
202401160800,202401160900,Link30_6_29,398,Link7_A_out
202401160900,202401161000,Link30_6_29,376,Link7_A_out
202401161000,202401161100,Link30_6_29,321,Link7_A_out
202401161100,202401161200,Link30_6_29,288,Link7_A_out
202401161200,202401161300,Link30_6_29,257,Link7_A_out
202401161300,202401161400,Link30_6_29,320,Link7_A_out
202401161400,202401161500,Link30_6_29,361,Link7_A_out
202401161500,202401161600,Link30_6_29,325,Link7_A_out
202401161600,202401161700,Link30_6_29,434,Link7_A_out
202401161700,202401161800,Link30_6_29,560,Link7_A_out
202401161800,202401161900,Link30_6_29,548,Link7_A_out
202401161900,202401162000,Link30_6_29,287,Link7_A_out
