集計開始時刻,集計終了時刻,リンクID,交通量,レーン名
202401160700,202401160800,Link27_27_6,297,Link7_C_in
202401160800,202401160900,Link27_27_6,417,Link7_C_in
202401160900,202401161000,Link27_27_6,290,Link7_C_in
202401161000,202401161100,Link27_27_6,307,Link7_C_in
202401161100,202401161200,Link27_27_6,298,Link7_C_in
202401161200,202401161300,Link27_27_6,262,Link7_C_in
202401161300,202401161400,Link27_27_6,272,Link7_C_in
202401161400,202401161500,Link27_27_6,328,Link7_C_in
202401161500,202401161600,Link27_27_6,287,Link7_C_in
202401161600,202401161700,Link27_27_6,336,Link7_C_in
202401161700,202401161800,Link27_27_6,352,Link7_C_in
202401161800,202401161900,Link27_27_6,308,Link7_C_in
202401161900,202401162000,Link27_27_6,176,Link7_C_in
